id,title,description,category,subcategory,subsubcategory
20,Valid Parentheses,"Given a string s containing just the characters &#39;(&#39;, &#39;)&#39;, &#39;{&#39;, &#39;}&#39;, &#39;[&#39; and &#39;]&#39;, determine if the input string is valid.An input string is valid if:	Open brackets must be closed by the same type of brackets.	Open brackets must be closed in the correct order.	Every close bracket has a corresponding open bracket of the same type. ",Stacks & Queues,Basic Stack Operations,Parentheses matching
21,Merge Two Sorted Lists,You are given the heads of two sorted linked lists list1 and list2.Merge the two lists into one sorted list. The list should be made by splicing together the nodes of the first two lists.Return the head of the merged linked list. ,Linked Lists,Advanced Linked List Problems,Merge & Sort
22,Generate Parentheses,"Given n pairs of parentheses, write a function to generate all combinations of well-formed parentheses. ",Backtracking,Constraint Satisfaction,Word Search
23,Merge k Sorted Lists,"You are given an array of k linked-lists lists, each linked-list is sorted in ascending order.Merge all the linked-lists into one sorted linked-list and return it. ",Linked Lists,Advanced Linked List Problems,Operations with Multiple Lists
24,Swap Nodes in Pairs,"Given a linked list, swap every two adjacent nodes and return its head. You must solve the problem without modifying the values in the list&#39;s nodes (i.e., only nodes themselves may be changed.) ",Linked Lists,Basic Operations,Insertion & Deletion
25,Reverse Nodes in k-Group,"Given the head of a linked list, reverse the nodes of the list k at a time, and return the modified list.k is a positive integer and is less than or equal to the length of the linked list. If the number of nodes is not a multiple of k then left-out nodes, in the end, should remain as it is.You may not alter the values in the list&#39;s nodes, only nodes themselves may be changed. ",Linked Lists,Basic Operations,Reversal
26,Remove Duplicates from Sorted Array,"Given an integer array nums sorted in non-decreasing order, remove the duplicates in-place such that each unique element appears only once. The relative order of the elements should be kept the same. Then return the number of unique elements in nums.Consider the number of unique elements of nums to be k, to get accepted, you need to do the following things:	Change the array nums such that the first k elements of nums contain the unique elements in the order they were present in nums initially. The remaining elements of nums are not important as well as the size of nums.	Return k.Custom Judge:The judge will test your solution with the following code:int[] nums = [...]; // Input arrayint[] expectedNums = [...]; // The expected answer with correct lengthint k = removeDuplicates(nums); // Calls your implementationassert k == expectedNums.length;for (int i = 0; i < k; i++) {    assert nums[i] == expectedNums[i];}If all assertions pass, then your solution will be accepted. ",Arrays & Strings,Two Pointers,Partitioning & Rearrangement
27,Remove Element,"Given an integer array nums and an integer val, remove all occurrences of val in nums in-place. The order of the elements may be changed. Then return the number of elements in nums which are not equal to val.Consider the number of elements in nums which are not equal to val be k, to get accepted, you need to do the following things:	Change the array nums such that the first k elements of nums contain the elements which are not equal to val. The remaining elements of nums are not important as well as the size of nums.	Return k.Custom Judge:The judge will test your solution with the following code:int[] nums = [...]; // Input arrayint val = ...; // Value to removeint[] expectedNums = [...]; // The expected answer with correct length.                            // It is sorted with no values equaling val.int k = removeElement(nums, val); // Calls your implementationassert k == expectedNums.length;sort(nums, 0, k); // Sort the first k elements of numsfor (int i = 0; i < actualLength; i++) {    assert nums[i] == expectedNums[i];}If all assertions pass, then your solution will be accepted. ",Arrays & Strings,Two Pointers,Partitioning & Rearrangement
28,Find the Index of the First Occurrence in a String,"Given two strings needle and haystack, return the index of the first occurrence of needle in haystack, or -1 if needle is not part of haystack. ",Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
29,Divide Two Integers,"Given two integers dividend and divisor, divide two integers without using multiplication, division, and mod operator.The integer division should truncate toward zero, which means losing its fractional part. For example, 8.345 would be truncated to 8, and -2.7335 would be truncated to -2.Return the quotient after dividing dividend by divisor.Note: Assume we are dealing with an environment that could only store integers within the 32-bit signed integer range: [&minus;231, 231 &minus; 1]. For this problem, if the quotient is strictly greater than 231 - 1, then return 231 - 1, and if the quotient is strictly less than -231, then return -231. ",Bit Manipulation,Bitwise Techniques,Finding Single Numbers
30,Substring with Concatenation of All Words,"You are given a string s and an array of strings words. All the strings of words are of the same length.A concatenated string is a string that exactly contains all the strings of any permutation of words concatenated.	For example, if words = [&quot;ab&quot;,&quot;cd&quot;,&quot;ef&quot;], then &quot;abcdef&quot;, &quot;abefcd&quot;, &quot;cdabef&quot;, &quot;cdefab&quot;, &quot;efabcd&quot;, and &quot;efcdab&quot; are all concatenated strings. &quot;acdbef&quot; is not a concatenated string because it is not the concatenation of any permutation of words.Return an array of the starting indices of all the concatenated substrings in s. You can return the answer in any order. ",Arrays & Strings,Basic Manipulation,Sliding Window
31,Next Permutation,"A permutation of an array of integers is an arrangement of its members into a sequence or linear order.	For example, for arr = [1,2,3], the following are all the permutations of arr: [1,2,3], [1,3,2], [2, 1, 3], [2, 3, 1], [3,1,2], [3,2,1].The next permutation of an array of integers is the next lexicographically greater permutation of its integer. More formally, if all the permutations of the array are sorted in one container according to their lexicographical order, then the next permutation of that array is the permutation that follows it in the sorted container. If such arrangement is not possible, the array must be rearranged as the lowest possible order (i.e., sorted in ascending order).	For example, the next permutation of arr = [1,2,3] is [1,3,2].	Similarly, the next permutation of arr = [2,3,1] is [3,1,2].	While the next permutation of arr = [3,2,1] is [1,2,3] because [3,2,1] does not have a lexicographical larger rearrangement.Given an array of integers nums, find the next permutation of nums.The replacement must be in place and use only constant extra memory. ",Arrays & Strings,Basic Manipulation,Reversal & Rotation
32,Longest Valid Parentheses,"Given a string containing just the characters &#39;(&#39; and &#39;)&#39;, return the length of the longest valid (well-formed) parentheses substring. ",Arrays & Strings,Advanced Array/String Techniques,Dynamic Programming on Arrays/Strings
33,Search in Rotated Sorted Array,"There is an integer array nums sorted in ascending order (with distinct values).Prior to being passed to your function, nums is possibly rotated at an unknown pivot index k (1 <= k < nums.length) such that the resulting array is [nums[k], nums[k+1], ..., nums[n-1], nums[0], nums[1], ..., nums[k-1]] (0-indexed). For example, [0,1,2,4,5,6,7] might be rotated at pivot index 3 and become [4,5,6,7,0,1,2].Given the array nums after the possible rotation and an integer target, return the index of target if it is in nums, or -1 if it is not in nums.You must write an algorithm with O(log n) runtime complexity. ",Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
34,Find First and Last Position of Element in Sorted Array,"Given an array of integers nums sorted in non-decreasing order, find the starting and ending position of a given target value.If target is not found in the array, return [-1, -1].You must write an algorithm with O(log n) runtime complexity. ",Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
35,Search Insert Position,"Given a sorted array of distinct integers and a target value, return the index if the target is found. If not, return the index where it would be if it were inserted in order.You must write an algorithm with O(log n) runtime complexity. ",Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
36,Valid Sudoku,Determine if a 9 x 9 Sudoku board is valid. Only the filled cells need to be validated according to the following rules:	Each row must contain the digits 1-9 without repetition.	Each column must contain the digits 1-9 without repetition.	Each of the nine 3 x 3 sub-boxes of the grid must contain the digits 1-9 without repetition.Note:	A Sudoku board (partially filled) could be valid but is not necessarily solvable.	Only the filled cells need to be validated according to the mentioned rules. ,Arrays & Strings,Basic Manipulation,Element Counting & Frequency
37,Sudoku Solver,Write a program to solve a Sudoku puzzle by filling the empty cells.A sudoku solution must satisfy all of the following rules:	Each of the digits 1-9 must occur exactly once in each row.	Each of the digits 1-9 must occur exactly once in each column.	Each of the digits 1-9 must occur exactly once in each of the 9 3x3 sub-boxes of the grid.The &#39;.&#39; character indicates empty cells. ,Backtracking,Constraint Satisfaction,Sudoku Solver
38,Count and Say,"The count-and-say sequence is a sequence of digit strings defined by the recursive formula:	countAndSay(1) = &quot;1&quot;	countAndSay(n) is the run-length encoding of countAndSay(n - 1).Run-length encoding (RLE) is a string compression method that works by replacing consecutive identical characters (repeated 2 or more times) with the concatenation of the character and the number marking the count of the characters (length of the run). For example, to compress the string &quot;3322251&quot; we replace &quot;33&quot; with &quot;23&quot;, replace &quot;222&quot; with &quot;32&quot;, replace &quot;5&quot; with &quot;15&quot; and replace &quot;1&quot; with &quot;11&quot;. Thus the compressed string becomes &quot;23321511&quot;.Given a positive integer n, return the nth element of the count-and-say sequence. ",Arrays & Strings,Basic Manipulation,Element Counting & Frequency
39,Combination Sum,"Given an array of distinct integers candidates and a target integer target, return a list of all unique combinations of candidates where the chosen numbers sum to target. You may return the combinations in any order.The same number may be chosen from candidates an unlimited number of times. Two combinations are unique if the frequency of at least one of the chosen numbers is different.The test cases are generated such that the number of unique combinations that sum up to target is less than 150 combinations for the given input. ",Backtracking,Permutations & Combinations,Generating Combinations
40,Combination Sum II,"Given a collection of candidate numbers (candidates) and a target number (target), find all unique combinations in candidates where the candidate numbers sum to target.Each number in candidates may only be used once in the combination.Note: The solution set must not contain duplicate combinations. ",Backtracking,Permutations & Combinations,Generating Combinations
41,First Missing Positive,Given an unsorted integer array nums. Return the smallest positive integer that is not present in nums.You must implement an algorithm that runs in O(n) time and uses O(1) auxiliary space. ,Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
42,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining. ",Arrays & Strings,Two Pointers,Partitioning & Rearrangement
43,Multiply Strings,"Given two non-negative integers num1 and num2 represented as strings, return the product of num1 and num2, also represented as a string.Note: You must not use any built-in BigInteger library or convert the inputs to integer directly. ",Arrays & Strings,Basic Manipulation,Element Counting & Frequency
44,Wildcard Matching,"Given an input string (s) and a pattern (p), implement wildcard pattern matching with support for &#39;?&#39; and &#39;*&#39; where:	&#39;?&#39; Matches any single character.	&#39;*&#39; Matches any sequence of characters (including the empty sequence).The matching should cover the entire input string (not partial). ",Dynamic Programming (DP),2D DP,Longest Common Subsequence (LCS)
45,Jump Game II,"You are given a 0-indexed array of integers nums of length n. You are initially positioned at nums[0].Each element nums[i] represents the maximum length of a forward jump from index i. In other words, if you are at nums[i], you can jump to any nums[i + j] where:	0 	i + j Return the minimum number of jumps to reach nums[n - 1]. The test cases are generated such that you can reach nums[n - 1]. ",Arrays & Strings,Advanced Array/String Techniques,Dynamic Programming on Arrays/Strings
46,Permutations,"Given an array nums of distinct integers, return all the possible permutations. You can return the answer in any order. ",Backtracking,Permutations & Combinations,Generating Permutations
47,Permutations II,"Given a collection of numbers, nums, that might contain duplicates, return all possible unique permutations in any order. ",Backtracking,Permutations & Combinations,Generating Permutations
48,Rotate Image,"You are given an n x n 2D matrix representing an image, rotate the image by 90 degrees (clockwise).You have to rotate the image in-place, which means you have to modify the input 2D matrix directly. DO NOT allocate another 2D matrix and do the rotation. ",Arrays & Strings,Basic Manipulation,Reversal & Rotation
49,Group Anagrams,"Given an array of strings strs, group the anagrams together. You can return the answer in any order. ",Arrays & Strings,Basic Manipulation,Element Counting & Frequency
50,"Pow(x, n)","Implement pow(x, n), which calculates x raised to the power n (i.e., xn). ",Dynamic Programming (DP),1D DP,Fibonacci-like Sequences
51,N-Queens,"The n-queens puzzle is the problem of placing n queens on an n x n chessboard such that no two queens attack each other.Given an integer n, return all distinct solutions to the n-queens puzzle. You may return the answer in any order.Each solution contains a distinct board configuration of the n-queens&#39; placement, where &#39;Q&#39; and &#39;.&#39; both indicate a queen and an empty space, respectively. ",Backtracking,Constraint Satisfaction,N-Queens Problem
52,N-Queens II,"The n-queens puzzle is the problem of placing n queens on an n x n chessboard such that no two queens attack each other.Given an integer n, return the number of distinct solutions to the n-queens puzzle. ",Backtracking,Constraint Satisfaction,N-Queens Problem
53,Maximum Subarray,"Given an integer array nums, find the subarray with the largest sum, and return its sum. ",Arrays & Strings,Advanced Array/String Techniques,Dynamic Programming on Arrays/Strings
54,Spiral Matrix,"Given an m x n matrix, return all elements of the matrix in spiral order. ",Arrays & Strings,Advanced Array/String Techniques,Matrix Traversal
59,Spiral Matrix II,"Given a positive integer n, generate an n x n matrix filled with elements from 1 to n2 in spiral order. ",Arrays & Strings,Advanced Array/String Techniques,Matrix Traversal
60,Permutation Sequence,"The set [1, 2, 3, ..., n] contains a total of n! unique permutations.By listing and labeling all of the permutations in order, we get the following sequence for n = 3:	&quot;123&quot;	&quot;132&quot;	&quot;213&quot;	&quot;231&quot;	&quot;312&quot;	&quot;321&quot;Given n and k, return the kth permutation sequence. ",Backtracking,Permutations & Combinations,Generating Permutations
61,Rotate List,"Given the head of a linked list, rotate the list to the right by k places. ",Linked Lists,Basic Operations,Traversal & Searching
62,Unique Paths,"There is a robot on an m x n grid. The robot is initially located at the top-left corner (i.e., grid[0][0]). The robot tries to move to the bottom-right corner (i.e., grid[m - 1][n - 1]). The robot can only move either down or right at any point in time.Given the two integers m and n, return the number of possible unique paths that the robot can take to reach the bottom-right corner.The test cases are generated so that the answer will be less than or equal to 2 * 109. ",Dynamic Programming (DP),2D DP,Matrix Path Problems
63,Unique Paths II,"You are given an m x n integer array grid. There is a robot initially located at the top-left corner (i.e., grid[0][0]). The robot tries to move to the bottom-right corner (i.e., grid[m - 1][n - 1]). The robot can only move either down or right at any point in time.An obstacle and space are marked as 1 or 0 respectively in grid. A path that the robot takes cannot include any square that is an obstacle.Return the number of possible unique paths that the robot can take to reach the bottom-right corner.The testcases are generated so that the answer will be less than or equal to 2 * 109. ",Dynamic Programming (DP),2D DP,Matrix Path Problems
64,Minimum Path Sum,"Given a m x n grid filled with non-negative numbers, find a path from top left to bottom right, which minimizes the sum of all numbers along its path.Note: You can only move either down or right at any point in time. ",Dynamic Programming (DP),2D DP,Matrix Path Problems
65,Valid Number,"Given a string s, return whether s is a valid number.For example, all the following are valid numbers: &quot;2&quot;, &quot;0089&quot;, &quot;-0.1&quot;, &quot;+3.14&quot;, &quot;4.&quot;, &quot;-.9&quot;, &quot;2e10&quot;, &quot;-90E3&quot;, &quot;3e+7&quot;, &quot;+6e-1&quot;, &quot;53.5e93&quot;, &quot;-123.456e789&quot;, while the following are not valid numbers: &quot;abc&quot;, &quot;1a&quot;, &quot;1e&quot;, &quot;e3&quot;, &quot;99e2.5&quot;, &quot;--6&quot;, &quot;-+3&quot;, &quot;95a54e53&quot;.Formally, a valid number is defined using one of the following definitions:	An integer number followed by an optional exponent.	A decimal number followed by an optional exponent.An integer number is defined with an optional sign &#39;-&#39; or &#39;+&#39; followed by digits.A decimal number is defined with an optional sign &#39;-&#39; or &#39;+&#39; followed by one of the following definitions:	Digits followed by a dot &#39;.&#39;.	Digits followed by a dot &#39;.&#39; followed by digits.	A dot &#39;.&#39; followed by digits.An exponent is defined with an exponent notation &#39;e&#39; or &#39;E&#39; followed by an integer number.The digits are defined as one or more digits. ",Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
66,Plus One,"You are given a large integer represented as an integer array digits, where each digits[i] is the ith digit of the integer. The digits are ordered from most significant to least significant in left-to-right order. The large integer does not contain any leading 0&#39;s.Increment the large integer by one and return the resulting array of digits. ",Arrays & Strings,Basic Manipulation,Element Counting & Frequency
67,Add Binary,"Given two binary strings a and b, return their sum as a binary string. ",Arrays & Strings,Basic Manipulation,Reversal & Rotation
68,Text Justification,"Given an array of strings words and a width maxWidth, format the text such that each line has exactly maxWidth characters and is fully (left and right) justified.You should pack your words in a greedy approach; that is, pack as many words as you can in each line. Pad extra spaces &#39; &#39; when necessary so that each line has exactly maxWidth characters.Extra spaces between words should be distributed as evenly as possible. If the number of spaces on a line does not divide evenly between words, the empty slots on the left will be assigned more spaces than the slots on the right.For the last line of text, it should be left-justified, and no extra space is inserted between words.Note:	A word is defined as a character sequence consisting of non-space characters only.	Each word&#39;s length is guaranteed to be greater than 0 and not exceed maxWidth.	The input array words contains at least one word. ",Arrays & Strings,Basic Manipulation,Element Counting & Frequency
69,Sqrt(x),"Given a non-negative integer x, return the square root of x rounded down to the nearest integer. The returned integer should be non-negative as well.You must not use any built-in exponent function or operator.	For example, do not use pow(x, 0.5) in c++ or x ** 0.5 in python. ",Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
70,Climbing Stairs,You are climbing a staircase. It takes n steps to reach the top.Each time you can either climb 1 or 2 steps. In how many distinct ways can you climb to the top? ,Dynamic Programming (DP),1D DP,Fibonacci-like Sequences
71,Simplify Path,"You are given an absolute path for a Unix-style file system, which always begins with a slash &#39;/&#39;. Your task is to transform this absolute path into its simplified canonical path.The rules of a Unix-style file system are as follows:	A single period &#39;.&#39; represents the current directory.	A double period &#39;..&#39; represents the previous/parent directory.	Multiple consecutive slashes such as &#39;//&#39; and &#39;///&#39; are treated as a single slash &#39;/&#39;.	Any sequence of periods that does not match the rules above should be treated as a valid directory or file name. For example, &#39;...&#39; and &#39;....&#39; are valid directory or file names.The simplified canonical path should follow these rules:	The path must start with a single slash &#39;/&#39;.	Directories within the path must be separated by exactly one slash &#39;/&#39;.	The path must not end with a slash &#39;/&#39;, unless it is the root directory.	The path must not have any single or double periods (&#39;.&#39; and &#39;..&#39;) used to denote current or parent directories.Return the simplified canonical path. ",Arrays & Strings,Basic Manipulation,Reversal & Rotation
72,Edit Distance,"Given two strings word1 and word2, return the minimum number of operations required to convert word1 to word2.You have the following three operations permitted on a word:	Insert a character	Delete a character	Replace a character ",Dynamic Programming (DP),2D DP,Edit Distance
73,Set Matrix Zeroes,"Given an m x n integer matrix matrix, if an element is 0, set its entire row and column to 0&#39;s.You must do it in place. ",Arrays & Strings,Basic Manipulation,Matrix Traversal
74,Search a 2D Matrix,"You are given an m x n integer matrix matrix with the following two properties:	Each row is sorted in non-decreasing order.	The first integer of each row is greater than the last integer of the previous row.Given an integer target, return true if target is in matrix or false otherwise.You must write a solution in O(log(m * n)) time complexity. ",Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
75,Sort Colors,"Given an array nums with n objects colored red, white, or blue, sort them in-place so that objects of the same color are adjacent, with the colors in the order red, white, and blue.We will use the integers 0, 1, and 2 to represent the color red, white, and blue, respectively.You must solve this problem without using the library&#39;s sort function. ",Arrays & Strings,Two Pointers,Partitioning & Rearrangement
77,Combinations,"Given two integers n and k, return all possible combinations of k numbers chosen from the range [1, n].You may return the answer in any order. ",Backtracking,Permutations & Combinations,Generating Combinations
78,Subsets,"Given an integer array nums of unique elements, return all possible subsets (the power set).The solution set must not contain duplicate subsets. Return the solution in any order. ",Backtracking,Permutations & Combinations,Subsets
79,Word Search,"Given an m x n grid of characters board and a string word, return true if word exists in the grid.The word can be constructed from letters of sequentially adjacent cells, where adjacent cells are horizontally or vertically neighboring. The same letter cell may not be used more than once. ",Backtracking,Constraint Satisfaction,Word Search
80,Remove Duplicates from Sorted Array II,"Given an integer array nums sorted in non-decreasing order, remove some duplicates in-place such that each unique element appears at most twice. The relative order of the elements should be kept the same.Since it is impossible to change the length of the array in some languages, you must instead have the result be placed in the first part of the array nums. More formally, if there are k elements after removing the duplicates, then the first k elements of nums should hold the final result. It does not matter what you leave beyond the first k elements.Return k after placing the final result in the first k slots of nums.Do not allocate extra space for another array. You must do this by modifying the input array in-place with O(1) extra memory.Custom Judge:The judge will test your solution with the following code:int[] nums = [...]; // Input arrayint[] expectedNums = [...]; // The expected answer with correct lengthint k = removeDuplicates(nums); // Calls your implementationassert k == expectedNums.length;for (int i = 0; i < k; i++) {    assert nums[i] == expectedNums[i];}If all assertions pass, then your solution will be accepted. ",Arrays & Strings,Two Pointers,Partitioning & Rearrangement
81,Search in Rotated Sorted Array II,"There is an integer array nums sorted in non-decreasing order (not necessarily with distinct values).Before being passed to your function, nums is rotated at an unknown pivot index k (0 <= k < nums.length) such that the resulting array is [nums[k], nums[k+1], ..., nums[n-1], nums[0], nums[1], ..., nums[k-1]] (0-indexed). For example, [0,1,2,4,4,4,5,6,6,7] might be rotated at pivot index 5 and become [4,5,6,6,7,0,1,2,4,4].Given the array nums after the rotation and an integer target, return true if target is in nums, or false if it is not in nums.You must decrease the overall operation steps as much as possible. ",Arrays & Strings,Basic Manipulation,"Searching & Finding (Linear Search, Binary Search)"
82,Remove Duplicates from Sorted List II,"Given the head of a sorted linked list, delete all nodes that have duplicate numbers, leaving only distinct numbers from the original list. Return the linked list sorted as well. ",Linked Lists,Basic Operations,Insertion & Deletion
83,Remove Duplicates from Sorted List,"Given the head of a sorted linked list, delete all duplicates such that each element appears only once. Return the linked list sorted as well. ",Linked Lists,Basic Operations,Insertion & Deletion
84,Largest Rectangle in Histogram,"Given an array of integers heights representing the histogram&#39;s bar height where the width of each bar is 1, return the area of the largest rectangle in the histogram. ",Stacks & Queues,Advanced Stack/Queue usage,Monotonic Stack
85,Maximal Rectangle,"Given a rows x cols binary matrix filled with 0&#39;s and 1&#39;s, find the largest rectangle containing only 1&#39;s and return its area. ",Arrays & Strings,Advanced Array/String Techniques,Matrix Traversal
86,Partition List,"Given the head of a linked list and a value x, partition it such that all nodes less than x come before nodes greater than or equal to x.You should preserve the original relative order of the nodes in each of the two partitions. ",Linked Lists,Basic Operations,Insertion & Deletion
87,Scramble String,"We can scramble a string s to get a string t using the following algorithm:	If the length of the string is 1, stop.	If the length of the string is > 1, do the following:			Split the string into two non-empty substrings at a random index, i.e., if the string is s, divide it to x and y where s = x + y.		Randomly decide to swap the two substrings or to keep them in the same order. i.e., after this step, s may become s = x + y or s = y + x.		Apply step 1 recursively on each of the two substrings x and y.		Given two strings s1 and s2 of the same length, return true if s2 is a scrambled string of s1, otherwise, return false. ",Dynamic Programming (DP),2D DP,Longest Common Subsequence (LCS)
88,Merge Sorted Array,"You are given two integer arrays nums1 and nums2, sorted in non-decreasing order, and two integers m and n, representing the number of elements in nums1 and nums2 respectively.Merge nums1 and nums2 into a single array sorted in non-decreasing order.The final sorted array should not be returned by the function, but instead be stored inside the array nums1. To accommodate this, nums1 has a length of m + n, where the first m elements denote the elements that should be merged, and the last n elements are set to 0 and should be ignored. nums2 has a length of n. ",Arrays & Strings,Two Pointers,Partitioning & Rearrangement
